startingAirport,destinationAirport,avg_travel_distance_no_stops,avg_travel_duration_no_stops,avg_travel_distance_with_stops,avg_travel_duration_with_stops
DFW,OAK,1845.69,652.65,1845.69,652.65
DFW,ORD,822.71,146.61,1283.9,498.57
DFW,PHL,1302.35,196.14,1506.67,461.12
DFW,SFO,1468.42,227.65,1746.26,510.41
DTW,ATL,673.92,119.22,1079.82,424.47
DTW,BOS,622.09,113.78,781.5,391.95
DTW,CLT,505.88,109.79,959.65,422.71
DTW,DEN,1142.0,193.48,1575.32,506.64
DTW,DFW,996.83,173.98,1326.67,480.46
DTW,EWR,485.34,106.18,790.98,447.13
DTW,IAD,391.0,89.4,830.27,331.72
DTW,JFK,485.44,109.44,868.6,483.79
DTW,LAX,2041.81,293.25,2340.61,568.6
DTW,LGA,495.77,107.97,800.06,348.47
DTW,MIA,1309.91,182.58,1490.43,458.32
DTW,OAK,2102.61,299.53,2404.22,726.04
DTW,ORD,240.0,87.69,1182.8,419.71
DTW,PHL,473.08,99.02,902.67,448.53
DTW,SFO,2083.52,305.77,2482.7,609.23
EWR,ATL,762.0,142.31,859.17,404.05
EWR,BOS,185.0,80.69,961.1,463.96
EWR,CLT,545.0,118.71,908.43,396.53
EWR,DEN,1621.35,261.73,1846.28,495.01
EWR,DFW,1380.27,231.63,1527.38,467.23
EWR,DTW,485.58,121.35,791.56,448.98
EWR,IAD,223.56,85.36,935.06,394.46
EWR,LAX,2459.14,360.85,2593.64,600.18
EWR,LGA,185.0,83.05,185.0,519.0
